[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: follow e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 431 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: fans e9ca3d00a40c8a0e158f18fe2252bc69.php 第 431 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 433 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 445 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 446 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 449 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 449 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: count e9ca3d00a40c8a0e158f18fe2252bc69.php 第 450 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 452 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.056793s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.056907s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001160s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001113s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000709s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000619s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003863s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_end ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000573s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000643s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001816s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001935s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001198s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001307s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000787s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000855s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000551s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000593s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.086216s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '2' )  [ RunTime:0.000344s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.011594s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.022276s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.012291s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') )  [ RunTime:0.000595s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ view_template ] --START--
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000895s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000994s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | INFO: Tag[ view_parse ] --START--
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.001126s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000931s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.007917s ]
[ 2015-07-20T09:11:25+08:00 ] /fweibo/index.php/Index/index/gid/1 | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000367s ]
