[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_template ] --END-- [ RunTime:0.002559s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_parse ] --START--
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run ParseTemplate Behavior [ RunTime:0.046207s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_parse ] --END-- [ RunTime:0.046353s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_filter ] --START--
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run ContentReplace Behavior [ RunTime:0.000823s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run TokenBuild Behavior [ RunTime:0.000753s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000571s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run ShowRuntime Behavior [ RunTime:0.000920s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003292s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_end ] --START--
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run ShowPageTrace Behavior [ RunTime:0.000742s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_end ] --END-- [ RunTime:0.000817s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001175s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001272s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000874s ]
